,dep,hosp,rea,dc
0,01,453,39,841
1,02,346,63,1642
2,03,282,29,940
3,04,192,15,394
4,05,191,25,412
5,06,762,136,2660
6,07,258,26,675
7,08,226,18,555
8,09,97,18,254
9,10,274,27,629
10,11,194,22,685
11,12,187,13,447
12,13,1649,354,6230
13,14,314,59,1021
14,15,87,15,260
15,16,127,15,375
16,17,291,26,873
17,18,219,17,793
18,19,165,15,430
19,21,392,81,1383
20,22,232,20,557
21,23,101,17,186
22,24,234,24,567
23,25,234,81,784
24,26,426,71,1264
25,27,289,22,798
26,28,278,45,826
27,29,440,43,822
28,2A,111,24,256
29,2B,113,13,265
30,30,385,83,1224
31,31,743,145,1555
32,32,179,10,266
33,33,649,128,2022
34,34,467,109,1946
35,35,496,57,1380
36,36,150,13,440
37,37,256,64,784
38,38,1095,133,2710
39,39,284,18,696
40,40,140,18,466
41,41,224,24,616
42,42,969,114,1967
43,43,243,20,436
44,44,381,70,1469
45,45,384,81,1071
46,46,75,10,190
47,47,116,20,473
48,48,58,7,164
49,49,321,68,1247
50,50,456,29,727
51,51,395,71,1368
52,52,159,23,537
53,53,136,15,433
54,54,512,180,1760
55,55,169,24,504
56,56,239,40,874
57,57,1071,181,3339
58,58,213,12,488
59,59,1692,362,6029
60,60,613,80,2055
61,61,198,18,620
62,62,923,155,2722
63,63,379,51,1246
64,64,418,30,902
65,65,195,19,489
66,66,305,37,910
67,67,1122,283,2482
68,68,1105,163,2376
69,69,1913,304,4546
70,70,125,23,431
71,71,545,55,1568
72,72,299,27,914
73,73,450,48,1099
74,74,680,95,1596
75,75,3281,855,6463
76,76,864,127,2400
77,77,845,213,3066
78,78,1070,193,2694
79,79,151,19,442
80,80,389,89,1229
81,81,203,34,658
82,82,115,25,424
83,83,651,89,2859
84,84,520,42,1673
85,85,179,25,583
86,86,199,29,544
87,87,243,32,523
88,88,339,43,1211
89,89,261,27,1017
90,90,229,46,983
91,91,1231,237,2747
92,92,2024,456,3661
93,93,1638,251,3220
94,94,2278,344,4105
95,95,961,188,2838
96,971,600,89,1122
97,972,799,183,1101
98,973,194,38,410
99,974,628,95,980
100,976,178,33,163
101,978,0,0,1
